model_name                                                     model_display_name
product.pricelist.item                                         Pricelist Rule
product.pricing                                                Pricing rule of temporal products
print.prenumbered.checks                                       Print Pre-numbered Checks
hr.employee.cv.wizard                                          Print Resume
privacy.log                                                    Privacy Log
privacy.lookup.wizard                                          Privacy Lookup Wizard
privacy.lookup.wizard.line                                     Privacy Lookup Wizard Line
procurement.group                                              Procurement Group
product.attribute                                              Product Attribute
product.attribute.custom.value                                 Product Attribute Custom Value
product.category                                               Product Category
product.image                                                  Product Image
report.product.report_producttemplatelabel_dymo                Product Label Report
report.product.report_producttemplatelabel                     Product Label Report
report.stock.label_product_product_view                        Product Label Report
stock.move.line                                                Product Moves (Stock Move Line)
product.packaging                                              Product Packaging
product.replenish                                              Product Replenish
product.tag                                                    Product Tag
product.template.attribute.exclusion                           Product Template Attribute Exclusion
product.template.attribute.line                                Product Template Attribute Line
product.template.attribute.value                               Product Template Attribute Value
report.mrp_account_enterprise.product_template_cost_structure  Product Template Cost Structure Report
uom.uom                                                        Product Unit of Measure
uom.category                                                   Product UoM Categories
product.ribbon                                                 Product ribbon
mrp.document                                                   Production Document
ir.profile                                                     Profiling results
project.sale.line.employee.map                                 Project Sales line, employee mapping
project.share.wizard                                           Project Sharing
project.project.stage                                          Project Stage
project.project.stage.delete.wizard                            Project Stage Delete Wizard
project.tags                                                   Project Tags
project.task.type.delete.wizard                                Project Task Stage Delete Wizard
hr.employee.public                                             Public Employee
publisher_warranty.contract                                    Publisher Warranty Contract
purchase.order.line                                            Purchase Order Line
purchase.report                                                Purchase Report
purchase.requisition.line                                      Purchase Requisition Line
purchase.requisition.type                                      Purchase Requisition Type
purchase.bill.union                                            Purchases & Bills Union
stock.putaway.rule                                             Putaway Rule
ir.qweb.field.time                                             QWeb Field Time
stock.quant                                                    Quants
sale.order.template                                            Quotation Template
sale.order.template.line                                       Quotation Template Line
sale.order.template.option                                     Quotation Template Option
ir.qweb                                                        Qweb
ir.qweb.field                                                  Qweb Field
ir.qweb.field.barcode                                          Qweb Field Barcode
ir.qweb.field.contact                                          Qweb Field Contact
ir.qweb.field.date                                             Qweb Field Date
ir.qweb.field.datetime                                         Qweb Field Datetime
ir.qweb.field.duration                                         Qweb Field Duration
ir.qweb.field.float                                            Qweb Field Float
ir.qweb.field.float_time                                       Qweb Field Float Time
ir.qweb.field.html                                             Qweb Field HTML
ir.qweb.field.image                                            Qweb Field Image
ir.qweb.field.image_url                                        Qweb Field Image
ir.qweb.field.integer                                          Qweb Field Integer
ir.qweb.field.many2one                                         Qweb Field Many to One
ir.qweb.field.monetary                                         Qweb Field Monetary
ir.qweb.field.relative                                         Qweb Field Relative
ir.qweb.field.selection                                        Qweb Field Selection
ir.qweb.field.text                                             Qweb Field Text
ir.qweb.field.qweb                                             Qweb Field qweb
ir.qweb.field.many2many                                        Qweb field many2many
rating.rating                                                  Rating
rating.parent.mixin                                            Rating Parent Mixin
hr.recruitment.report                                          Recruitment Analysis Report
hr.recruitment.stage.report                                    Recruitment Stage Analysis
hr.recruitment.stage                                           Recruitment Stages
hr.applicant.refuse.reason                                     Refuse Reason of Applicant
account.payment.register                                       Register Payment
expense.sample.register                                        Register Sample Payments
event.mail.registration                                        Registration Mail Scheduler
ir.model.relation                                              Relation Model
account.resequence.wizard                                      Remake the sequence of Journal Entries.
product.removal                                                Removal Strategy
mail.blacklist.remove                                          Remove email from blacklist wizard
phone.blacklist.remove                                         Remove phone from blacklist
sale.rental.report                                             Rental Analysis Report
sale.rental.schedule                                           Rental Schedule
